Source       Instrument     DateTime                Stat          Bid              Ask               BookBid                                                    BookAsk
[TSTJ.log]   317837590261   20180612-09:01:28.378   2             Bid{884,77013}   Ask{1025,991050}  BookBid{884,77013;850,2400;750,26013;105,15013}            BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:10:54     Continuous    Bid{891,77013}   Ask{1025,991050}  BookBid{891,77013;890,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:01:31.767   2             Bid{885,2500}    Ask{1025,991050}  BookBid{885,2500;884,77013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:10:54     Continuous    Bid{891,73013}   Ask{1025,991050}  BookBid{891,77013;890,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:01:31.924   2             Bid{885,4500}    Ask{1025,991050}  BookBid{885,4500;884,75013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:11:05     Continuous    Bid{892,6115}    Ask{1025,991050}  BookBid{891,73013;890,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:02:13.637   2             Bid{885,4500}    Ask{890,1}        BookBid{885,4500;884,75013;850,2400;750,26013;105,15013}   BookAsk{890,1;1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:11:05     Continuous    Bid{892,8115}    Ask{1025,991050}  BookBid{892,6115;891,73013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:02:32.537   2             Bid{889,75013}   Ask{890,1}        BookBid{889,75013;885,4500;850,2400;750,26013;105,15013}   BookAsk{890,1;1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:11:22     Continuous    Bid{893,71013}   Ask{1025,991050}  BookBid{892,8115;891,71013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:02:32.695   2             Bid{889,77013}   Ask{890,1}        BookBid{889,77013;885,2500;850,2400;750,26013;105,15013}   BookAsk{890,1;1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:11:22     Continuous    Bid{893,73013}   Ask{1025,991050}  BookBid{893,71013;892,8115;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:04:45.580   2             Bid{889,77013}   Ask{890,1}        BookBid{889,77013;850,2400;750,26013;105,15013}            BookAsk{890,1;1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:12:09     Continuous    Bid{894,6115}    Ask{1025,991050}  BookBid{893,73013;890,25013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:04:49.756   2             Bid{889,77013}   Ask{1025,991050}  BookBid{889,77013;850,2400;750,26013;105,15013}            BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:12:09     Continuous    Bid{894,8115}    Ask{1025,991050}  BookBid{894,6115;893,73013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:04:49.758   2             Bid{889,77013}   Ask{1025,991050}  BookBid{889,77013;850,2400;750,26013;105,15013}            BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:14:25     Continuous    Bid{894,8115}    Ask{920,1}        BookBid{894,8115;893,71013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:05:47.542   2             Bid{890,6115}    Ask{1025,991050}  BookBid{890,6115;889,77013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:14:31     Continuous    Bid{894,8115}    Ask{1025,991050}  BookBid{894,8115;893,71013;890,25013;850,2400;750,26013}   BookAsk{920,1;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:05:47.700   2             Bid{890,8115}    Ask{1025,991050}  BookBid{890,8115;889,75013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:19     Continuous    Bid{894,33115}   Ask{1025,991050}  BookBid{894,8115;893,96013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:06:02.390   2             Bid{890,33115}   Ask{1025,991050}  BookBid{890,33115;889,75013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:19     Continuous    Bid{895,25013}   Ask{1025,991050}  BookBid{894,33115;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:09:03.284   2             Bid{891,75013}   Ask{1025,991050}  BookBid{891,75013;890,33115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:19     Continuous    Bid{895,27013}   Ask{1025,991050}  BookBid{895,25013;894,8115;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:09:03.442   2             Bid{891,77013}   Ask{1025,991050}  BookBid{891,77013;890,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:22     Continuous    Bid{896,6115}    Ask{1025,991050}  BookBid{895,27013;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:09:42.793   2             Bid{891,73013}   Ask{1025,991050}  BookBid{891,73013;890,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:22     Continuous    Bid{896,8115}    Ask{1025,991050}  BookBid{896,6115;895,27013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:09:42.802   2             Bid{891,73013}   Ask{1025,991050}  BookBid{891,73013;890,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:25     Continuous    Bid{896,33115}   Ask{1025,991050}  BookBid{896,8115;895,25013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:09:53.488   2             Bid{892,6115}    Ask{1025,991050}  BookBid{892,6115;891,73013;890,31115;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:26     Continuous    Bid{897,25013}   Ask{1025,991050}  BookBid{896,33115;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:09:53.488   2             Bid{892,6115}    Ask{1025,991050}  BookBid{892,6115;891,73013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:15:26     Continuous    Bid{897,27013}   Ask{1025,991050}  BookBid{897,25013;896,8115;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:09:53.650   2             Bid{892,8115}    Ask{1025,991050}  BookBid{892,8115;891,71013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:19     Continuous    Bid{898,6115}    Ask{1025,991050}  BookBid{897,27013;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:10:10.471   2             Bid{893,71013}   Ask{1025,991050}  BookBid{893,71013;892,8115;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:19     Continuous    Bid{898,8115}    Ask{1025,991050}  BookBid{898,6115;897,27013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:10:10.628   2             Bid{893,73013}   Ask{1025,991050}  BookBid{893,73013;892,6115;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:31     Continuous    Bid{899,71013}   Ask{1025,991050}  BookBid{898,8115;897,25013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:10:57.452   2             Bid{893,73013}   Ask{1025,991050}  BookBid{893,73013;890,25013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:31     Continuous    Bid{899,73013}   Ask{1025,991050}  BookBid{899,71013;898,8115;897,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:10:57.564   2             Bid{894,6115}    Ask{1025,991050}  BookBid{894,6115;893,73013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:38     Continuous    Bid{899,98013}   Ask{1025,991050}  BookBid{899,73013;898,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:10:57.722   2             Bid{894,8115}    Ask{1025,991050}  BookBid{894,8115;893,71013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:38     Continuous    Bid{900,25013}   Ask{1025,991050}  BookBid{899,98013;898,6115;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:13:13.466   2             Bid{894,8115}    Ask{920,1}        BookBid{894,8115;893,71013;890,25013;850,2400;750,26013}   BookAsk{920,1;1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:38     Continuous    Bid{900,27013}   Ask{1025,991050}  BookBid{900,25013;899,73013;898,6115;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:13:19.895   2             Bid{894,8115}    Ask{1025,991050}  BookBid{894,8115;893,71013;890,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:38     Continuous    Bid{901,25013}   Ask{1025,991050}  BookBid{900,27013;899,71013;898,6115;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:06.776   2             Bid{894,8115}    Ask{1025,991050}  BookBid{894,8115;893,71013;891,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:16:38     Continuous    Bid{901,27013}   Ask{1025,991050}  BookBid{901,25013;900,2013;899,71013;898,6115;850,2400}    BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:06.940   2             Bid{894,8115}    Ask{1025,991050}  BookBid{894,8115;893,71013;892,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:17:18     Continuous    Bid{902,6115}    Ask{1025,991050}  BookBid{901,27013;899,71013;898,6115;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:07.129   2             Bid{894,8115}    Ask{1025,991050}  BookBid{894,8115;893,96013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}

