Source       Instrument     DateTime                Stat          Bid              Ask               BookBid                                                    BookAsk
[TSTJ.csv]   TST.J          06/12/2018 07:22:10     Continuous    Bid{992,1}       Ask{1000,2000}    BookBid{993,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:07.734   2             Bid{898,8115}    Ask{1025,991050}  BookBid{898,8115;897,25013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:10     Continuous    Bid{991,1}       Ask{1000,2000}    BookBid{992,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:19.459   2             Bid{899,71013}   Ask{1025,991050}  BookBid{899,71013;898,8115;897,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:10     Continuous    Bid{990,1}       Ask{1000,2000}    BookBid{991,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:19.616   2             Bid{899,73013}   Ask{1025,991050}  BookBid{899,73013;898,6115;897,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:10     Continuous    Bid{989,1}       Ask{1000,2000}    BookBid{990,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:25.969   2             Bid{899,73013}   Ask{1025,991050}  BookBid{899,73013;898,31115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:11     Continuous    Bid{988,1}       Ask{1000,2000}    BookBid{989,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:26.146   2             Bid{899,98013}   Ask{1025,991050}  BookBid{899,98013;898,6115;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:11     Continuous    Bid{987,1}       Ask{1000,2000}    BookBid{988,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:26.330   2             Bid{900,25013}   Ask{1025,991050}  BookBid{900,25013;899,73013;898,6115;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:11     Continuous    Bid{986,1}       Ask{1000,2000}    BookBid{987,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:26.488   2             Bid{900,27013}   Ask{1025,991050}  BookBid{900,27013;899,71013;898,6115;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:12     Continuous    Bid{985,1}       Ask{1000,2000}    BookBid{986,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:26.528   2             Bid{901,25013}   Ask{1025,991050}  BookBid{901,25013;900,2013;899,71013;898,6115;850,2400}    BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:13     Continuous    Bid{986,1}       Ask{1000,2000}    BookBid{985,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:26.686   2             Bid{901,27013}   Ask{1025,991050}  BookBid{901,27013;899,71013;898,6115;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:14     Continuous    Bid{987,1}       Ask{1000,2000}    BookBid{986,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:16:06.425   2             Bid{902,6115}    Ask{1025,991050}  BookBid{902,6115;901,27013;899,71013;898,6115;850,2400}    BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:14     Continuous    Bid{988,1}       Ask{1000,2000}    BookBid{987,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:16:06.569   2             Bid{902,6115}    Ask{1025,991050}  BookBid{902,6115;901,27013;899,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:14     Continuous    Bid{989,1}       Ask{1000,2000}    BookBid{988,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:16:06.583   2             Bid{902,8115}    Ask{1025,991050}  BookBid{902,8115;901,25013;899,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:17     Continuous    Bid{904,2013}    Ask{1000,2000}    BookBid{989,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:16:31.362   2             Bid{903,71013}   Ask{1025,991050}  BookBid{903,71013;902,8115;901,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:20     Continuous    Bid{905,6115}    Ask{1000,2000}    BookBid{904,2013;903,71013;900,25013;850,2400;750,26013}   BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:16:31.520   2             Bid{903,73013}   Ask{1025,991050}  BookBid{903,73013;902,6115;901,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:20     Continuous    Bid{905,8115}    Ask{1000,2000}    BookBid{905,6115;904,2013;903,71013;900,25013;850,2400}    BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:17:01.460   2             Bid{903,73013}   Ask{1025,991050}  BookBid{903,73013;901,25013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:35     Continuous    Bid{905,8115}    Ask{999,5353}     BookBid{905,8115;903,71013;900,25013;850,2400;750,26013}   BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:17:01.518   2             Bid{904,6115}    Ask{1025,991050}  BookBid{904,6115;903,73013;901,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:35     Continuous    Bid{905,8115}    Ask{999,7353}     BookBid{905,8115;903,71013;900,25013;850,2400;750,26013}   BookAsk{999,5353;1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:17:01.676   2             Bid{904,8115}    Ask{1025,991050}  BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:29:54     Continuous    Bid{905,8115}    Ask{950,1}        BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{999,7353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:17:27.778   2             Bid{904,8115}    Ask{1000,5353}    BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1000,5353;1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:29:54     Continuous    Bid{905,8115}    Ask{950,2001}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,1;999,7353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:17:27.936   2             Bid{904,8115}    Ask{1000,7353}    BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1000,7353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:30:02     Continuous    Bid{905,8115}    Ask{935,1}        BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2001;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:17:47.402   2             Bid{904,8115}    Ask{1000,2013}    BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:30:09     Continuous    Bid{905,8115}    Ask{950,2001}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{935,1;950,2001;999,5353;1024,3474;1025,989050}
[TSTJ.log]   317837590261   20180612-09:18:10.431   2             Bid{995,1}       Ask{1000,2013}    BookBid{995,1;904,8115;903,71013;901,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:30:39     Continuous    Bid{905,8115}    Ask{940,1}        BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2001;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:19:03.614   2             Bid{995,1}       Ask{1000,2013}    BookBid{995,1;904,2013;903,71013;901,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:30:47     Continuous    Bid{905,8115}    Ask{950,2001}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{940,1;950,2001;999,5353;1024,3474;1025,989050}
[TSTJ.log]   317837590261   20180612-09:19:21.712   2             Bid{995,1}       Ask{1000,2013}    BookBid{995,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:30:51     Continuous    Bid{905,8115}    Ask{950,2000}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2001;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:57.362   2             Bid{994,1}       Ask{1000,2013}    BookBid{994,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:34:22     Continuous    Bid{905,8115}    Ask{950,2000}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:57.823   2             Bid{993,1}       Ask{1000,2013}    BookBid{993,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:34:22     Continuous    Bid{905,6095}    Ask{950,2000}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:58.113   2             Bid{992,1}       Ask{1000,2013}    BookBid{992,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:36:02     Continuous    Bid{910,2200}    Ask{950,2000}     BookBid{905,6095;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:58.323   2             Bid{991,1}       Ask{1000,2013}    BookBid{991,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:36:02     Continuous    Bid{910,4200}    Ask{950,2000}     BookBid{910,2200;905,6095;891,71013;850,2400;750,26013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:58.613   2             Bid{990,1}       Ask{1000,2013}    BookBid{990,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:36:06     Continuous    Bid{911,4095}    Ask{950,2000}     BookBid{910,4200;905,4095;892,8746;891,71013;850,2400}     BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:58.982   2             Bid{989,1}       Ask{1000,2013}    BookBid{989,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:36:21     Continuous    Bid{912,10013}   Ask{950,2000}     BookBid{911,4095;910,4200;850,2400;750,26013;105,15013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:59.257   2             Bid{988,1}       Ask{1000,2013}    BookBid{988,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:37:06     Continuous    Bid{913,4095}    Ask{950,2000}     BookBid{912,10013;911,4095;910,4200;850,2400;750,26013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:59.387   2             Bid{987,1}       Ask{1000,2013}    BookBid{987,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:39:03     Continuous    Bid{925,2200}    Ask{950,2000}     BookBid{913,4095;911,10013;910,2013;850,2400;750,26013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:20:59.884   2             Bid{986,1}       Ask{1000,2013}    BookBid{986,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:39:08     Continuous    Bid{926,4095}    Ask{950,2000}     BookBid{925,2200;913,4095;911,10013;910,2013;850,2400}     BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:21:00.132   2             Bid{985,1}       Ask{1000,2013}    BookBid{985,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:40:31     Continuous    Bid{926,4095}    Ask{999,5353}     BookBid{926,4095;911,10013;885,2013;850,2400;750,26013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:21:01.953   2             Bid{986,1}       Ask{1000,2013}    BookBid{986,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:40:47     Continuous    Bid{926,4095}    Ask{999,7353}     BookBid{926,4095;911,10013;885,2013;850,2400;750,26013}    BookAsk{999,5353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:21:02.121   2             Bid{987,1}       Ask{1000,2013}    BookBid{987,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:42:17     Continuous    Bid{950,2150}    Ask{999,7353}     BookBid{926,4095;900,50013;885,2013;850,2400;750,26013}    BookAsk{999,7353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:21:02.603   2             Bid{988,1}       Ask{1000,2013}    BookBid{988,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:42:30     Continuous    Bid{950,2150}    Ask{990,4000}     BookBid{950,2150;926,4095;900,50013;885,2013;850,2400}     BookAsk{999,7353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:21:02.718   2             Bid{989,1}       Ask{1000,2013}    BookBid{989,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:42:30     Continuous    Bid{950,2150}    Ask{990,6000}     BookBid{950,2150;926,4095;900,50013;885,2013;850,2400}     BookAsk{990,4013;999,7353;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:21:05.145   2             Bid{904,2013}    Ask{1000,2013}    BookBid{904,2013;903,71013;900,25013;850,2400;750,26013}   BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:43:01     Continuous    Bid{951,4095}    Ask{990,6000}     BookBid{950,2150;926,4095;900,65170;850,2400;750,26013}    BookAsk{990,6013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:21:08.585   2             Bid{905,6115}    Ask{1000,2013}    BookBid{905,6115;904,2013;903,71013;900,25013;850,2400}    BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:43:20     Continuous    Bid{959,100}     Ask{990,6000}     BookBid{951,4095;950,2150;900,65170;850,2400;750,26013}    BookAsk{990,6013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:21:08.772   2             Bid{905,8115}    Ask{1000,2013}    BookBid{905,8115;903,71013;900,25013;850,2400;750,26013}   BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:43:27     Continuous    Bid{951,4095}    Ask{990,6000}     BookBid{959,100;951,4095;950,2150;900,65170;850,2400}      BookAsk{990,6013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:21:23.831   2             Bid{905,8115}    Ask{999,5353}     BookBid{905,8115;903,71013;900,25013;850,2400;750,26013}   BookAsk{999,5353;1000,2013;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:46:48     Continuous    Bid{951,4095}    Ask{985,5353}     BookBid{951,4095;950,2150;900,65170;850,2400;750,26013}    BookAsk{990,6013;999,5353;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:21:23.989   2             Bid{905,8115}    Ask{999,7353}     BookBid{905,8115;903,71013;900,25013;850,2400;750,26013}   BookAsk{999,7353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:46:48     Continuous    Bid{951,4095}    Ask{985,7353}     BookBid{951,4095;950,2150;900,65170;850,2400;750,26013}    BookAsk{985,5353;990,6013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:23:16.947   2             Bid{905,8115}    Ask{999,7353}     BookBid{905,8115;903,71013;850,2400;750,26013;105,15013}   BookAsk{999,7353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:48:23     Continuous    Bid{951,4095}    Ask{985,2000}     BookBid{951,4095;950,2150;900,65170;850,2400;750,26013}    BookAsk{985,7353;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:27:01.811   2             Bid{905,8115}    Ask{999,7353}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{999,7353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:48:23     Continuous    Bid{951,4095}    Ask{985,2000}     BookBid{951,4095;950,2150;900,65170;850,2400;750,26013}    BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:28:42.487   2             Bid{905,8115}    Ask{950,1}        BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,1;999,7353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:48:23     Continuous    Bid{950,2150}    Ask{985,2000}     BookBid{951,4095;950,2150;900,65170;850,2400;750,26013}    BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:28:42.644   2             Bid{905,8115}    Ask{950,2001}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2001;999,5353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:48:23     Continuous    Bid{950,2150}    Ask{985,2000}     BookBid{950,2150;900,65170;850,2400;750,26013;105,15013}   BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:28:43.805   2             Bid{905,8115}    Ask{950,2001}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2001;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 07:48:23     Continuous    Bid{950,892}     Ask{985,2000}     BookBid{950,2150;900,65170;850,2400;750,26013;105,15013}   BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:28:50.307   2             Bid{905,8115}    Ask{935,1}        BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{935,1;950,2001;999,5353;1024,3474;1025,989050}

[TSTJ.csv]   TST.J          06/12/2018 07:58:33     Continuous    Bid{950,1070}    Ask{985,2000}     BookBid{950,892;900,50013;850,2400;750,26013;105,15013}    BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:28:57.888   2             Bid{905,8115}    Ask{950,2001}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2001;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 08:20:08     Continuous    Bid{950,892}     Ask{985,2000}     BookBid{950,1070;900,65170;890,2200;850,2400;750,26013}    BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:29:27.648   2             Bid{905,8115}    Ask{940,1}        BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{940,1;950,2001;999,5353;1024,3474;1025,989050}

[TSTJ.csv]   TST.J          06/12/2018 08:20:29     Continuous    Bid{950,892}     Ask{985,2000}     BookBid{950,892;900,65170;890,2200;850,2400;750,26013}     BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:29:35.538   2             Bid{905,8115}    Ask{950,2001}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2001;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 08:20:29     Continuous    Bid{950,714}     Ask{985,2000}     BookBid{950,892;900,65170;890,2200;850,2400;750,26013}     BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:29:39.440   2             Bid{905,8115}    Ask{950,2013}     BookBid{905,8115;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 08:27:33     Continuous    Bid{950,714}     Ask{990,4000}     BookBid{950,714;900,65170;890,2200;850,2400;750,26013}     BookAsk{985,2013;990,4013;1024,3474;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:33:10.946   2             Bid{905,6095}    Ask{950,2013}     BookBid{905,6095;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 08:27:38     Continuous    Bid{950,714}     Ask{990,6000}     BookBid{950,714;900,50013;890,2200;850,2400;750,26013}     BookAsk{990,4013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:33:10.967   2             Bid{905,6095}    Ask{950,2013}     BookBid{905,6095;891,71013;850,2400;750,26013;105,15013}   BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 08:33:51     Continuous    Bid{950,714}     Ask{990,4000}     BookBid{950,714;900,50013;890,2200;850,2400;750,26013}     BookAsk{990,6013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:34:50.752   2             Bid{910,2200}    Ask{950,2013}     BookBid{910,2200;905,6095;891,71013;850,2400;750,26013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 08:33:57     Continuous    Bid{950,714}     Ask{990,6000}     BookBid{950,714;900,50013;890,2200;850,2400;750,26013}     BookAsk{990,4013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:34:50.910   2             Bid{910,4200}    Ask{950,2013}     BookBid{910,4200;905,4095;891,71013;850,2400;750,26013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 09:14:19     Continuous    Bid{950,714}     Ask{990,4000}     BookBid{950,714;900,65170;890,2200;850,2400;750,26013}     BookAsk{990,6013;1019,3474;1020,50013;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:34:51.963   2             Bid{910,4200}    Ask{950,2013}     BookBid{910,4200;905,4095;892,8746;891,71013;850,2400}     BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 09:14:20     Continuous    Bid{950,714}     Ask{990,6000}     BookBid{950,714;900,65170;890,2200;850,2400;750,26013}     BookAsk{990,4013;1019,3474;1020,50013;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:34:54.483   2             Bid{911,4095}    Ask{950,2013}     BookBid{911,4095;910,4200;905,4095;892,8746;891,71013}     BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 09:32:53     Continuous    Bid{950,3140}    Ask{990,6000}     BookBid{950,714;901,8658;900,50013;890,2200;850,2400}      BookAsk{990,6013;1019,3474;1020,50013;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:34:54.594   2             Bid{911,4095}    Ask{950,2013}     BookBid{911,4095;910,4200;892,8746;891,71013;850,2400}     BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 09:59:58     Auction       Bid{950,3140}    Ask{990,6000}     BookBid{950,3140;901,8658;900,50013;890,2200;850,2400}     BookAsk{990,6013;1019,3474;1020,50013;1025,989050;1040,19919}
[TSTJ.log]   317837590261   20180612-09:34:54.649   2             Bid{911,4095}    Ask{950,2013}     BookBid{911,4095;910,4200;891,71013;850,2400;750,26013}    BookAsk{950,2013;999,5353;1024,3474;1025,989050;1040,19919}

[TSTJ.csv]   TST.J          06/12/2018 09:59:58     Auction       Bid{950,3140}    Ask{990,4000}     BookBid{950,3140;901,8658;900,50013;890,2200;850,2400}     BookAsk{990,6013;1019,3474;1020,50013;1025,989050;1040,19919}
